Execucao,MelhorValor,TempoSegundos,ItensSelecionados
1,2067,2.49958,1 3 4 6 8 9 11 13 14 15 16 17 18 21 22 23 25 26 28 31 32 34 36 37 39 41 42 43 45 47 48 50 52 53 54 56 57 72 
2,2035,2.37386,1 2 3 4 6 8 9 11 12 13 14 15 16 17 18 19 22 23 24 25 26 27 28 30 31 32 34 35 36 37 38 39 41 42 43 45 50 
3,2046,2.37939,1 2 3 4 6 8 9 10 11 12 13 14 15 17 19 20 21 22 23 25 26 27 30 31 32 33 34 35 37 38 39 41 42 43 45 48 49 72 
4,2064,2.36905,1 3 4 6 9 10 11 14 17 18 19 21 22 23 25 26 27 28 30 31 32 33 34 36 39 41 42 43 45 46 48 50 52 53 54 55 56 57 59 
5,2040,2.53715,1 2 3 4 6 8 9 11 12 13 14 15 16 18 19 21 22 23 25 26 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 45 
6,2049,2.41065,2 4 6 8 9 13 14 15 16 18 19 21 22 23 25 27 28 30 31 32 33 34 35 38 39 41 43 47 48 49 50 52 53 54 56 57 58 72 
7,2036,2.39063,1 3 4 6 8 10 11 12 13 14 17 19 20 22 23 25 26 27 28 30 31 32 33 34 36 38 39 41 42 43 45 46 50 53 54 55 56 
8,2047,2.39815,1 3 4 6 8 9 10 11 12 13 14 15 16 17 18 21 22 23 25 28 30 31 32 33 34 35 36 37 38 39 41 42 45 46 48 49 
9,2058,2.37979,1 2 3 4 6 8 9 11 12 13 14 15 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 41 42 43 45 48 
10,2059,2.41053,1 2 3 4 6 9 11 13 14 15 16 17 19 21 22 23 25 26 27 28 31 32 33 34 35 36 37 38 39 41 42 43 44 45 48 53 54 
11,2041,2.34992,2 3 4 6 8 9 10 11 12 13 14 15 17 18 19 21 22 23 25 26 27 28 29 30 31 32 33 34 35 36 37 39 41 42 43 44 45 48 
12,2057,2.35013,2 3 4 6 7 9 11 13 14 15 16 17 19 21 22 23 25 26 27 28 30 31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 48 75 
13,2038,2.41521,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 25 26 27 30 32 33 34 36 37 38 39 41 42 43 44 45 52 
14,2047,2.36261,1 2 3 4 6 8 9 11 12 14 15 16 17 18 21 22 23 25 26 28 29 31 32 33 36 37 38 39 41 42 43 44 45 48 50 52 53 56 
15,2036,2.38758,1 3 4 6 9 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 30 31 32 33 34 36 37 38 39 40 41 42 43 45 65 
16,2038,2.41281,1 2 3 4 6 7 8 9 11 12 13 14 15 16 17 18 19 21 23 24 26 27 28 30 32 34 36 37 38 39 40 41 42 43 45 46 48 52 
17,2047,2.39251,1 2 3 4 6 8 9 11 12 13 14 15 17 18 19 21 22 23 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 52 
18,2038,2.4183,3 4 6 8 9 10 11 12 13 14 15 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 39 41 42 45 48 52 56 
19,2048,2.38058,1 3 4 6 8 9 10 11 19 22 23 25 27 30 31 32 33 34 35 36 38 39 41 42 43 44 45 46 47 48 50 52 53 54 55 56 61 
20,2046,2.41408,1 3 4 6 9 11 12 13 14 15 16 17 18 22 24 25 26 27 30 31 33 36 37 38 39 42 43 45 46 51 52 54 59 61 63 65 69 
