Execucao,MelhorValor,Tempo,Seed,ItensIncluidos
1,2191,1.4825,910620293,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 29 31 32 33 35 38 40 42 44 47 49 51 53 55 58 60 62 64 66 68 70 71 74 76 78 81 83 85 87 89 92 93 95 97 99"
2,2190,1.4659,2321171470,"1 2 3 5 8 10 11 13 14 16 18 20 22 24 26 27 29 31 33 35 38 40 41 42 44 47 49 51 53 55 56 58 60 62 64 66 67 68 70 71 74 76 78 81 83 85 87 92 95 97 99"
3,2194,1.5452,2568370807,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 27 29 31 33 35 38 40 41 42 44 47 49 51 53 55 58 60 64 66 68 70 71 74 76 78 81 83 85 87 89 92 93 95 97 99"
4,2193,1.5237,2999542319,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 27 29 31 33 35 37 38 40 42 44 47 49 51 53 55 58 60 62 64 66 68 71 72 74 76 78 81 83 85 87 89 92 95 97 99"
5,2193,1.5668,2676447097,"1 2 3 5 8 11 12 13 14 16 18 20 22 24 26 27 29 31 33 35 37 38 40 42 44 47 49 51 53 55 58 60 62 64 66 68 70 71 74 76 78 81 85 87 89 90 92 93 95 97 99"
6,2189,1.5391,476194593,"2 3 5 8 11 12 14 16 18 20 22 24 26 27 29 31 33 35 37 38 40 41 42 44 47 49 51 53 55 58 60 62 64 66 67 68 70 71 74 76 78 81 85 87 89 90 92 93 95 99"
7,2193,1.4566,1076137254,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 29 31 33 35 37 38 40 42 44 47 49 51 53 55 56 58 60 62 64 66 68 71 74 76 78 81 83 85 87 89 92 93 95 97 99"
8,2184,1.5565,3928404225,"1 2 3 5 8 11 13 14 16 18 20 22 24 26 29 31 33 35 36 37 38 40 42 44 47 49 51 53 55 58 60 64 66 67 68 70 71 74 76 78 79 81 83 85 87 89 90 92 93 95 99"
9,2190,1.4843,1512030789,"1 2 3 5 8 10 11 13 14 16 18 20 22 24 26 29 31 33 35 37 38 40 41 42 44 47 49 51 53 55 58 60 62 64 66 67 68 70 71 72 74 76 78 81 85 87 92 93 95 97 99"
10,2192,1.4745,1712022115,"1 2 3 5 8 11 12 13 14 16 18 20 22 24 26 29 31 33 35 37 38 40 41 42 44 47 49 51 53 55 58 60 62 64 66 68 70 71 74 76 78 81 83 85 87 89 92 93 95 97 99"
11,2191,1.4942,743889202,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 27 29 31 33 35 37 38 40 42 44 47 49 51 53 55 56 58 60 64 66 68 70 71 74 76 78 81 83 85 87 89 92 95 97 99"
12,2190,1.4973,3391108509,"1 2 3 5 8 10 11 12 13 14 16 18 20 22 24 26 27 29 31 33 35 38 40 42 44 47 49 51 53 55 58 60 64 66 67 68 70 71 74 75 76 78 81 83 85 87 89 92 95 97 99"
13,2180,1.5167,2361200318,"1 2 3 5 8 10 11 12 13 14 16 18 20 21 22 24 26 27 29 31 32 33 35 37 38 40 41 42 44 47 51 55 58 60 64 66 68 70 71 74 76 78 83 85 87 89 92 95 97 99"
14,2190,1.4801,3239838985,"2 3 5 8 13 14 16 18 20 22 24 26 27 29 31 33 35 38 40 41 42 44 47 49 51 53 55 56 58 60 62 64 66 67 68 70 71 74 76 78 81 83 85 87 89 90 92 95 97 99"
15,2186,1.4998,1750774776,"1 2 3 5 8 11 12 13 14 16 18 22 24 26 29 31 33 35 37 38 40 41 42 44 47 49 51 53 55 56 58 60 64 66 67 68 70 71 72 74 76 78 83 85 87 89 92 93 97 99"
